case_id,case_index,material,object_id,candidate_id,candidate_family,selected_for_major,selected_for_minor,candidate_p0_x,candidate_p0_y,candidate_direction_x,candidate_direction_y,candidate_endpoint1_x,candidate_endpoint1_y,candidate_endpoint2_x,candidate_endpoint2_y,candidate_path_length_px_from_csv,mask_path_length_px_recomputed,mask_path_length_mm,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_depth_median_mm,strip_depth_lower_endpoint_or_quantile_mm,strip_depth_upper_endpoint_or_quantile_mm,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,manual_major_selected,manual_minor_selected
case_003_3,3,timber,3,A6,pipeline_minor,False,False,597.3480951620072,319.51918945082497,-0.9498853099899461,0.3125986210227168,980.1518750879554,193.54194517867012,214.54431523605894,445.4964337229798,805.9999999999999,805.9999999999999,274.1358115989994,277.2389962538374,True,,59810,0.8738683245473298,310.0,-138.06902567269654,139.1699705811409,percentile,0.0025,0.9975,-138.06902567269654,139.1699705811409,277.2389962538374,,
case_003_3,3,timber,3,A7,pipeline_minor,False,True,608.65771484375,353.88543701171875,-0.949885309989946,0.3125986210227167,989.5617241497184,228.53338998160933,227.75370553778163,479.23748404182817,802.0000000000001,802.0000000000001,272.77533610719104,274.6080137864436,True,,68150,0.9804041206686154,310.0,-138.06391181310948,136.81959759425234,percentile,0.0025,0.9975,-138.06391181310948,136.81959759425234,274.8835094073618,,271.5
case_003_3,3,timber,3,A8,pipeline_minor,False,False,619.9673345254928,388.2516845726125,-0.949885309989946,0.3125986210227167,999.9214585214713,263.2122361635258,240.0132105295143,513.2911329816992,800.0000000000002,800.0000000000002,272.09509836128785,276.598138224337,True,,67388,0.9834079498805659,310.0,-137.17310221597907,139.84567132882827,percentile,0.0025,0.9975,-137.17310221597907,139.84567132882827,277.0187735448073,,
case_004_4,4,timber,4,A1,pipeline_major,False,False,377.6394212158009,271.7971519147038,-0.2576626787081154,0.9662349320951704,394.77398934989054,207.542528930375,360.5048530817112,336.0517748990327,133.00000000000003,133.00000000000003,38.08157712847673,37.92043190612727,True,,11187,0.8901902376277842,258.0,-18.125278588480658,19.71007442841803,percentile,0.0025,0.9975,-18.125278588480658,19.71007442841803,37.83535301689869,,
case_004_4,4,timber,4,A2,pipeline_major,False,False,544.8149358661743,315.34234938338614,-0.2576626787081156,0.9662349320951703,561.6918413215559,252.05396133115244,527.9380304107927,378.6307374356198,131.00000000000003,131.00000000000003,37.50892183331135,39.48122335144123,True,,10545,0.8301516382344977,260.0,-18.929303947534088,20.410813129510643,percentile,0.0025,0.9975,-18.929303947534088,20.410813129510643,39.340117077044724,,
case_004_4,4,timber,4,A3,pipeline_major,True,False,711.9904505165479,358.88754685206845,-0.2576626787081156,0.9662349320951703,728.8673559719294,295.59915879983475,695.1135450611663,422.1759349043021,131.00000000000003,131.00000000000003,37.508921833311234,38.38374816897481,True,,10310,0.8130246412131059,261.0,-16.86170723510932,21.522040933865487,percentile,0.0025,0.9975,-16.86170723510932,21.522040933865487,38.38374816897481,37.5,
case_004_4,4,timber,4,A4,pipeline_major,False,False,879.2947965062754,401.9496268547031,-0.2576626787081156,0.9662349320951703,896.0428706223029,339.1443562685171,862.5467223902479,464.7548974408892,129.99999999999997,129.99999999999997,37.2225941857289,35.408493416384374,True,,9711,0.7198754400216626,263.0,-17.102029287495483,18.633140182953355,percentile,0.0025,0.9975,-17.102029287495483,18.633140182953355,35.73516947044884,,
case_004_4,4,timber,4,A5,pipeline_minor,False,True,638.6201355548787,300.7400653629104,-0.9662349320951704,-0.2576626787081153,1029.4621655873752,404.96461890034305,247.7781055223823,196.51551182547774,809.0000000000001,809.0000000000001,231.66466634544798,230.07236589606958,True,,58992,0.8446141467752636,260.0,-117.43257324954546,112.52432406224291,percentile,0.0025,0.9975,-117.43257324954546,112.52432406224291,229.95689731178837,,229.0
case_004_4,4,timber,4,A6,pipeline_minor,False,False,624.7632077980788,352.70353837060406,-0.9662349320951704,-0.25766267870811527,1013.672767966385,456.41276655062046,235.85364762977275,248.99431019058764,805.0000000000001,805.0000000000001,230.5192291818101,229.92358313021475,True,,67706,0.9694685581198391,261.0,-117.77092513510956,112.10225089460128,percentile,0.0025,0.9975,-117.77092513510956,112.10225089460128,229.87317602971086,,
case_005_5,5,timber,5,A1,pipeline_major,True,False,246.99626711336512,356.6540723346932,0.057596528638050815,0.9983399420482215,240.71824549181758,247.83501865143705,253.27428873491266,465.4731260179493,217.99999999999997,217.99999999999997,88.96490521844628,79.00655903675305,True,,18369,0.9867532467532467,332.0,-39.62420051975373,39.33757624604973,percentile,0.0025,0.9975,-39.62420051975373,39.33757624604973,78.96177676580346,78.8,
