case_id,case_index,material,object_id,path_label,manual_mm,selected_anchor_id,selection_source,p0_x,p0_y,direction_x,direction_y,endpoint1_x,endpoint1_y,endpoint2_x,endpoint2_y,mask_path_length_px,mask_path_length_mm,mask_abs_error_mm,mask_signed_error_mm,mask_pct_error,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_abs_error_mm,strip_depth_signed_error_mm,strip_depth_pct_error,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,best_method_for_this_path_by_abs_error,notes
case_011_1,11,concrete block,1,major,101.9,A2,candidate_id,503.9082439283285,350.9083007346209,0.05759661599930248,0.998339937008146,494.2608107484453,183.68636128575648,513.5556771082116,518.1302401834854,335.00000000000006,100.69656518214974,1.2034348178502654,-1.2034348178502654,1.1809958958295048,101.28356090221261,True,,28438,0.9781415277498828,0.6164390977873921,-0.6164390977873921,0.6049451401250168,percentile,0.0025,0.9975,-50.11460071362551,51.07754887143589,101.1921495850614,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_011_1,11,concrete block,1,minor,169.0,A5,candidate_id,512.4229317008974,350.91789946713095,-0.998339937008146,0.057596615999302415,792.4572840316823,334.7620486793266,232.38857937011238,367.07375025493525,561.0,168.65052023355327,0.3494797664467342,-0.3494797664467342,0.2067927612110853,168.83775812241703,True,,47814,0.9546846295162278,0.16224187758297148,-0.16224187758297148,0.09600111099584112,percentile,0.0025,0.9975,-85.82301239995253,82.94870776808239,168.77172016803493,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_012_2,12,concrete block,2,major,77.0,A1,candidate_id,149.96461096648,250.33586846920696,0.0068491602161274475,0.9999765442270803,149.42352730940593,171.3377214752676,150.50569462355406,329.33401546314633,158.00000000000003,76.69895871359338,0.3010412864066154,-0.3010412864066154,0.39096270961898105,78.30396258162514,True,,13534,0.9862418021100656,1.303962581625143,1.303962581625143,1.6934578982144715,percentile,0.0025,0.9975,-38.55851744615395,39.72532331207833,78.28384075823227,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_012_2,12,concrete block,2,minor,279.5,A7,candidate_id,334.8635746978948,249.06943613766538,-0.9999765442270803,0.006849160216127396,621.3568546189533,247.10715173574488,48.37029477683626,251.03172053958588,573.0,278.1905095613932,1.3094904386068151,-1.3094904386068151,0.468511784832492,279.9740251190162,True,,44531,0.8980773042616452,0.4740251190161757,0.4740251190161757,0.1695975381095441,percentile,0.0025,0.9975,-140.80760206190843,139.2911872570443,280.0987893189527,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_013_3,13,concrete block,3,major,76.2,A2,candidate_id,556.095703125,379.70654296875,0.2052714121242181,0.9787050870229139,532.4894907307149,267.1554579611149,579.7019155192851,492.2576279763851,230.0,75.69558090596011,0.5044190940398892,-0.5044190940398892,0.6619673150129779,76.6440715378384,True,,19731,0.9658801644801254,0.44407153783839703,0.44407153783839703,0.5827710470320171,percentile,0.0025,0.9975,-37.77056532081786,38.869096366648165,76.63966168746603,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_013_3,13,concrete block,3,minor,118.7,A5,candidate_id,552.6702353204198,380.42499291118475,-0.9787050870229139,0.2052714121242178,734.2200289631703,342.34714596214235,371.1204416776693,418.50283986022714,370.99999999999994,122.11451176358773,3.4145117635877256,3.4145117635877256,2.876589522820325,121.09683582710953,True,,31051,0.9658789522305331,2.396835827109527,2.396835827109527,2.0192382705219267,percentile,0.0025,0.9975,-60.35597643554188,60.886333690547524,121.24231012608941,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_014_4,14,concrete block,4,major,76.5,A3,candidate_id,559.388876091001,340.9120413187591,0.15398542785479147,0.9880731187560853,541.4495737459177,225.8015229836752,577.3281784360842,456.0225596538431,233.00000000000003,76.1715162790941,0.3284837209058935,-0.3284837209058935,0.42939048484430525,76.94598387822194,True,,16758,0.8160864345738296,0.44598387822193786,0.44598387822193786,0.5829854617280233,percentile,0.0025,0.9975,-37.839604951359256,39.07377631784793,76.91338126920719,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_014_4,14,concrete block,4,minor,285.0,A7,candidate_id,559.6519345085968,339.35293892669756,-0.9880731187560853,0.15398542785479113,991.9339239643841,271.98431424022647,127.3699450528095,406.7215636131687,875.0000000000001,286.0865560836458,1.086556083645803,1.086556083645803,0.3812477486476502,286.12427450718155,True,,66429,0.880484036406601,1.1242745071815534,1.1242745071815534,0.3944822832215977,percentile,0.0025,0.9975,-144.2882181515963,141.780589785859,286.0688079374553,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_015_5,15,concrete block,5,major,55.0,A1,candidate_id,471.3981898490671,318.9630885700689,0.9851275607171563,-0.17182458821561447,414.260791327472,328.92891468657456,528.5355883706621,308.9972624535633,115.99999999999999,58.990287186459014,3.990287186459014,3.990287186459014,7.255067611743661,57.371249334141496,True,,9349,0.8733516483516484,2.3712493341414955,2.3712493341414955,4.31136242571181,percentile,0.0025,0.9975,-25.420286612314282,32.01192447244544,57.43221108475972,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_015_5,15,concrete block,5,minor,156.5,A5,candidate_id,453.3736625382484,221.44236236434296,0.17182458821561447,0.9851275607171565,426.826763658936,69.24015423354228,479.92056141756086,373.6445704951436,309.0,157.11908975512435,0.6190897551243495,0.6190897551243495,0.395584508066677,159.56053584768063,True,,25734,0.950598309364365,3.060535847680626,3.060535847680626,1.9556139601793137,percentile,0.0025,0.9975,-79.14461428448098,80.41592156319965,159.56053584768063,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
