lower_threshold,lower_inclusive,upper_inclusive,present_correct,present_wrong_selection,present_rejected,unreviewed_selections,absent_rejected,absent_false_accepts,present_accuracy_percent,absent_rejection_percent,overall_correct,overall_accuracy_percent,overall_lower_percent,overall_upper_percent,target_confirmed
0.6831173896789551,False,0.6904717683792114,33,0,30,0,9,0,52.38095238095238,100.0,42,58.333333333333336,58.333333333333336,58.333333333333336,False
0.6904717683792114,False,0.6914406418800354,32,0,31,0,9,0,50.79365079365079,100.0,41,56.94444444444444,56.94444444444444,56.94444444444444,False
0.6914406418800354,False,0.7031881213188171,31,0,32,0,9,0,49.20634920634921,100.0,40,55.55555555555556,55.55555555555556,55.55555555555556,False
0.7031881213188171,False,0.7051465511322021,30,0,33,0,9,0,47.61904761904762,100.0,39,54.166666666666664,54.166666666666664,54.166666666666664,False
0.7051465511322021,False,0.7180770039558411,29,0,34,0,9,0,46.03174603174603,100.0,38,52.77777777777778,52.77777777777778,52.77777777777778,False
0.7180770039558411,False,0.7690891027450562,28,0,35,0,9,0,44.44444444444444,100.0,37,51.388888888888886,51.388888888888886,51.388888888888886,False
0.7690891027450562,False,0.7708199620246887,27,0,36,0,9,0,42.857142857142854,100.0,36,50.0,50.0,50.0,False
0.7708199620246887,False,0.7715930938720703,26,0,37,0,9,0,41.26984126984127,100.0,35,48.611111111111114,48.611111111111114,48.611111111111114,False
0.7715930938720703,False,0.7720949649810791,25,0,38,0,9,0,39.682539682539684,100.0,34,47.22222222222222,47.22222222222222,47.22222222222222,False
0.7720949649810791,False,0.778569757938385,24,0,39,0,9,0,38.095238095238095,100.0,33,45.833333333333336,45.833333333333336,45.833333333333336,False
0.778569757938385,False,0.7812227606773376,23,0,40,0,9,0,36.507936507936506,100.0,32,44.44444444444444,44.44444444444444,44.44444444444444,False
0.7812227606773376,False,0.7822116017341614,22,0,41,0,9,0,34.92063492063492,100.0,31,43.05555555555556,43.05555555555556,43.05555555555556,False
0.7822116017341614,False,0.784758985042572,21,0,42,0,9,0,33.333333333333336,100.0,30,41.666666666666664,41.666666666666664,41.666666666666664,False
